"Timestamp","Class name (e.g. cs125, cs225)","Instructor","Ratings [Difficulty]","Ratings [Interestingness]","Ratings [Usefulness]","Comment on this course","What is your overall opinion about this course?"
"2019/04/17 3:45:41 PM EST","cs412","Qi Li","2","3","2","Suck on quiz arrangement.","Positive"
"2019/04/17 3:47:55 PM EST","CS 241","Angrave Lawrence","4","4","4","Concurrency and  Networking are the most useful part","Positive"
"2019/04/17 3:48:25 PM EST","CS398","Justin Sirignano","2","4","4","Useful and easy ","Positive"
"2019/04/17 3:49:25 PM EST","CS 483","Sanjay Patel ","3","3","4","Not too much content and low workload","Positive"
"2019/04/17 3:50:00 PM EST","CS357","Mariana Silva","4","4","4","I think this course is quite important for a math students as it states a lot of useful stuff and it teaches python. The class is quite great and the homework is not hard on the coding part. All you need to do is to understand the theorom of the math part first and the coding is basically ask you about these theoroms. Not a big deal. ","Positive"
"2019/04/17 3:50:14 PM EST","CS 242","Michael Joseph Woodley","2","2","4","Boring class with self-pace project ","Neutral"
"2019/04/17 3:50:49 PM EST","cs411","forgot","1","5","5","Good Course","Positive"
"2019/04/17 3:51:33 PM EST","cs173","Evan","1","2","3","Generally easy class but can’t lose many points for an A","Positive"
"2019/04/17 3:51:37 PM EST","cs498aml","Trevor Walker ","4","4","4","Very useful for people who want to get into applied machine learning.","Positive"
"2019/04/17 3:51:56 PM EST","CS 233","Geoffrey Herman","2","2","2","Basic computer aritechture","Neutral"
"2019/04/17 3:52:13 PM EST","cs225","Wade","2","3","3","One of the best CS courses at UIUC","Positive"
"2019/04/17 3:52:30 PM EST","cs498rk","Ranjitha Kumar","3","3","4","You can learn basically all you need for web programming. it is a very useful class","Positive"
"2019/04/17 3:52:49 PM EST","cs374","Sabriel ","3","2","2","Really difficult course and hard to understand ","Neutral"
"2019/04/17 3:53:07 PM EST","CS 225","Wage Fagen-Ulmschneider","3","4","4","The most useful class for software engineers","Positive"
"2019/04/17 3:53:29 PM EST","cs241","Angrave Lawrence","4","4","3","Large work load, but professor explained everything clearly and his very nice","Positive"
"2019/04/17 3:53:38 PM EST","cs440","Hasegawa","2","3","3","Classical AI course; materials are fundamental and interesting","Positive"
"2019/04/17 3:55:34 PM EST","CS 357","Mariana Silva","2","2","3","Useful techniques to scientific computing and large-scale computing and machines learning","Positive"
"2019/04/17 3:56:07 PM EST","CS 413","Xiaoming Wang","2","2","2","Difficult final exam","Neutral"
"2019/04/17 4:01:07 PM EST","cs125","Bill Chapman","4","3","4","It is too hard for a beginner to learn CS, but it is fine overall.","Neutral"
"2019/04/17 4:01:10 PM EST","cs125","Bill Chapman","3","3","4","The professor and the course is amazing! I love it.","Positive"
"2019/04/17 4:02:08 PM EST","cs233","Geoffrey Herman","3","1","1","I hate this course. It's super boring.","Negative"
"2019/04/17 4:03:13 PM EST","cs173","Margaret Fleck","2","1","2","I think this course is meaningless. I don't see why we are required to take this class","Neutral"
"2019/04/17 4:03:44 PM EST","cs465","Wai-tat Fu","3","4","4","I love this course! It's definitely worth taking it.","Positive"
"2019/04/17 4:03:48 PM EST","cs225","Wade","1","1","3","Very useful. I can do a lot of interview questions now","Positive"
"2019/04/17 4:05:22 PM EST","CS498AML","David Forsyth","2","3","3","The lecture is not quite useful. Professor’s book is very useful. Good for every engineering student wants to apply machine learning in their fields","Positive"
"2019/04/17 4:05:29 PM EST","CS125","Challen","1","1","3","Overall useful.","Neutral"
"2019/04/17 4:05:31 PM EST","cs357","Mariana Silva","3","1","3","The instructor is super unhelpful and mean. The form of the quiz doesn't make sense at all.","Negative"
"2019/04/17 4:05:34 PM EST","cs173","Margaret Fleck","3","2","3","The contents are relatively easy, and provides some useful theorems in both CS and Math.","Positive"
"2019/04/17 4:06:43 PM EST","cs126","Lawrence Angrave","3","3","3","This course is extremely time consuming, but it's a good introduction to software programming.","Neutral"
"2019/04/17 4:08:10 PM EST","cs225","Wade Fagen-Ulmschneider","3","3","5","The contents are not easy, but there are many extra credits for you to get an A. The data structures are really helpful.","Positive"
"2019/04/17 4:10:46 PM EST","cs241","Lawrence Angrave","5","3","4","Very intensive coursework. But many of them will enhance your coding ability.","Positive"
"2019/04/17 4:14:27 PM EST","cs 357","Mariana Silva","3","2","3","The contents are mainly applied in machine learning, but hardly useful in other fields.","Negative"
"2019/04/17 4:29:00 PM EST","cs498","David","2","3","3","No exams, only homeworks, which made this course easy. But some of the algorithms are not useful enough.","Neutral"
"2019/04/17 4:31:35 PM EST","cs225","Cinda Heeren","3","4","4","Really practical.","Positive"
"2019/04/17 4:32:30 PM EST","cs 233","Geoffrey Her,am","3","5","4","Really interesting and easy.","Positive"
"2019/04/17 4:33:28 PM EST","cs241","Lawrence Angrave","4","4","5","Difficult but useful.","Positive"
"2019/04/17 4:34:08 PM EST","cs357","Mariana Silva","2","4","4","Easy and useful.","Positive"
"2019/04/17 4:36:00 PM EST","Cs225","Wade ","4","3","5","The instructor is great and I can really feel the passion behind his teaching. The overall MP is very interesting. There are some fun part for us to create our own work too.","Positive"
"2019/04/17 4:37:57 PM EST","Cs233","Geoffrey Herman","3","3","4","The overall course is great because the design of this class is very reasonable. With the content the instructor teaches, I can really learn about what is Computer Architecture.","Positive"
"2019/04/17 4:38:35 PM EST","cs427","Tao Xie","1","1","1","This course is extremely useless. We spent around half an hour per class to discuss one general question. It's a technical class, but I barely learn anything ","Negative"
"2019/04/17 4:39:06 PM EST","cs411","Abdu","3","5","5","Really useful. Abdu is so funny haha","Positive"
"2019/04/17 4:54:09 PM EST","cs225","don't remember","4","3","5","good","Positive"
"2019/04/17 5:55:32 PM EST","CS225","Wade","4","3","5","This is a very useful course, and  I learned a lot of programming knowledge in this course","Positive"
"2019/04/18 3:00:58 PM EST","cs125","Geoffrey Challen","2","3","4","Excellent material, bad instructor","Positive"
"2019/04/18 3:02:32 PM EST","CS173","Margaret Fleck","2","4","4","Relatively easy material, great instructor","Positive"
"2019/04/18 3:03:40 PM EST","cs233","Geoffrey Lindsay","4","2","2","Boring material, not useful","Negative"
"2019/04/18 3:05:50 PM EST","cs357","Wade Fagen-Uscheider","3","5","5","Great instructor, very useful material","Positive"
"2019/04/18 7:22:52 PM EST","233","Craig Zilles","2","3","5","I like the professor, but I generally hate the material of this course. Also, the hand written exam was really hard. ","Negative"
"2019/04/18 7:31:57 PM EST","233","Craig Zilles","3","3","3","Man this course is so easy. I didn't study much and get an A at the end lol. The material was boring though.","Negative"
"2019/04/18 7:32:01 PM EST","cs233","Craig Zilles","3","1","2","Too much workload and too tired for me!","Negative"
