Year,Term,Number,Subject,Course Title,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2018,Spring,100,AAS,Intro Asian American Studies,"Paik, Angela N",3,6,4,0,3,2,3,2,0,1,0,0,0,0
2018,Spring,100,AAS,Intro Asian American Studies,"Kang, Yoonjung",1,4,5,4,7,1,1,1,0,1,0,0,0,0
2018,Spring,100,AAS,Intro Asian American Studies,"Paik, Angela N",5,10,5,3,2,2,0,1,1,0,1,1,0,0
2018,Spring,100,AAS,Intro Asian American Studies,"Paik, Angela N",1,5,4,4,3,1,1,1,1,0,2,0,0,1
2018,Spring,215,AAS,US Citizenship Comparatively,"Cacho, Lisa M",4,4,5,3,4,2,0,1,1,0,0,0,1,0
2018,Spring,258,AAS,Muslims in America,"Rana, Junaid",0,9,8,1,0,0,1,0,1,0,0,0,1,0
2018,Spring,141,ABE,ABE Principles: Biological,"Bhalerao, Kaustubh",0,25,19,4,0,1,0,0,1,0,0,0,0,1
2018,Spring,225,ABE,ABE Principles: Bioenvironment,"Zhang, Yuanhui",3,3,5,5,11,1,0,0,1,0,0,0,1,0
2018,Spring,226,ABE,ABE Principles: Bioprocessing,"Singh, Vijay",2,10,5,0,5,3,4,0,0,0,0,0,2,0
2018,Spring,425,ABE,Engrg Measurement Systems,"Grift, Tony E",3,20,3,2,2,0,1,0,0,0,0,0,0,0
2018,Spring,469,ABE,Industry-Linked Design Project,"Zahos, Stephen C",3,17,20,1,3,2,0,0,0,0,0,0,0,0
2018,Spring,598,ABE,Autonomous Decision Making,"Chowdhary, Girish",3,13,5,3,1,0,0,0,0,0,0,0,0,1
2018,Spring,200,ACCY,Fundamentals of Accounting,"Silhan, Peter A",2,32,16,18,13,12,10,7,2,1,3,1,2,1
2018,Spring,200,ACCY,Fundamentals of Accounting,"Zhang, Li",9,17,4,0,3,2,0,0,0,0,0,0,0,0
2018,Spring,201,ACCY,Accounting and Accountancy I,"Sylvestri, Ross J",4,7,9,5,5,1,3,4,0,0,0,0,4,0
2018,Spring,201,ACCY,Accounting and Accountancy I,"Sylvestri, Ross J",10,4,9,8,2,6,0,0,1,0,4,0,1,0
2018,Spring,201,ACCY,Accounting and Accountancy I,"Leman, Grant W",14,7,5,5,3,2,3,0,3,0,1,0,1,0
2018,Spring,201,ACCY,Accounting and Accountancy I,"Hennessy, Thomas J",8,3,3,5,5,7,4,1,2,0,4,0,0,0
2018,Spring,201,ACCY,Accounting and Accountancy I,"Hennessy, Thomas J",6,3,7,5,5,2,2,1,5,0,6,0,3,1
2018,Spring,201,ACCY,Accounting and Accountancy I,"Leman, Grant W",11,12,12,2,4,3,1,0,0,0,2,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Wu, Tony Y",3,5,1,2,5,5,4,1,1,0,1,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Wu, Tony Y",2,6,1,5,8,2,0,3,1,0,0,0,0,1
2018,Spring,202,ACCY,Accounting and Accountancy II,"McDermott, John P",3,3,4,2,12,1,2,1,0,0,1,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Christiansen, Ryan S",1,8,2,4,6,1,4,1,1,0,1,0,0,1
2018,Spring,202,ACCY,Accounting and Accountancy II,"Ye, Yina",4,4,1,3,9,0,3,1,0,0,1,0,0,2
2018,Spring,202,ACCY,Accounting and Accountancy II,"McDermott, John P",5,10,1,6,6,0,2,1,2,0,0,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Ye, Yina",4,5,0,4,6,5,4,1,1,0,1,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Christiansen, Ryan S",4,4,1,7,4,2,0,1,2,0,3,0,1,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Arends, Alyssa M",1,3,4,3,8,1,4,4,1,0,0,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Ducker, Merik R",0,3,1,6,8,3,2,2,2,0,0,0,1,1
2018,Spring,202,ACCY,Accounting and Accountancy II,"Balkan, Alexander C",3,7,1,7,7,1,1,3,0,0,2,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Balkan, Alexander C",3,5,2,5,6,3,2,1,0,0,0,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Arends, Alyssa M",4,3,1,5,8,1,2,3,1,0,0,0,0,0
2018,Spring,202,ACCY,Accounting and Accountancy II,"Ducker, Merik R",0,7,1,4,8,1,4,4,0,0,1,0,0,0
2018,Spring,301,ACCY,Atg Measurement and Disclosure,"Davis, Gregory L",1,6,2,3,5,1,0,1,1,1,0,0,2,0
2018,Spring,301,ACCY,Atg Measurement and Disclosure,"Davis, Gregory L",5,12,5,3,5,1,1,1,0,0,1,1,0,0
2018,Spring,301,ACCY,Atg Measurement and Disclosure,"Davis, Gregory L",5,8,3,3,4,1,3,0,1,0,0,1,0,0
2018,Spring,301,ACCY,Atg Measurement and Disclosure,"Mendoza, Kimberly",3,6,10,1,4,2,3,1,0,1,0,0,1,0
2018,Spring,301,ACCY,Atg Measurement and Disclosure,"Mendoza, Kimberly",7,7,5,2,1,3,4,1,1,0,0,0,0,0
2018,Spring,301,ACCY,Atg Measurement and Disclosure,"Mendoza, Kimberly",2,4,8,4,8,4,1,1,0,0,0,0,0,0
2018,Spring,302,ACCY,Decision Making for Atg,"Fanning, Kirsten B",0,5,3,5,9,1,1,1,0,0,0,0,0,0
2018,Spring,302,ACCY,Decision Making for Atg,"Fanning, Kirsten B",0,2,9,4,2,2,1,1,0,0,1,0,0,0
2018,Spring,302,ACCY,Decision Making for Atg,"Finnegan, Thomas",0,4,9,8,0,1,3,0,1,0,0,0,0,0
2018,Spring,302,ACCY,Decision Making for Atg,"Shin, Jae Yong",0,6,8,2,2,5,2,0,0,0,0,0,0,0
2018,Spring,302,ACCY,Decision Making for Atg,"Finnegan, Thomas",0,1,7,8,8,3,0,0,0,0,0,0,0,0
2018,Spring,302,ACCY,Decision Making for Atg,"Fanning, Kirsten B",0,2,11,5,4,2,1,0,0,0,0,0,1,0
