,course,sentiment,comment
0,CS125,Average,"The lecture feedback app sucks but he's a cool guy, awesome accent too"
1,CS125,Awesome,This professor and this class inspired me to transfer into Computer Science.
2,CS125,Awesome,"Great Professor, first time programming and managed an A-. Took a bit of work though. If you have had rigorous experience with recursion, this class might be a joke to you. Take it anyway , Angrave is the bee's knees."
3,CS125,Average,"Each lecture was trying to decipher his analogies than actually learning the material. It's my first time coding, and I don't think it's an easy class. Need to be able to devote a lot of time to do well if you don't pick up on stuff that easily. Midterms 2 and 3 were pretty hard, so be sure you have time for this class!"
4,CS125,Awesome,The Best CS Professor on campus
5,CS125,Awesome,"Angrave is a great professor. He definitely does his best to keep the class interesting, and he does a great job of it. The MPs are helpful and the tests are fair. Overall, its a very easy class if you have prior programming experience, but definitely doable even if you don't. Very nice, funny, and intelligent professor."
6,CS125,Awesome,Awesome Professor! Really put a lot of effort into making the course an amazing CS introductory course. Definitely learnt a lot and the MPs given were very interesting as well!
7,CS125,Awesome,"Wat a guy. If youre reading this, angrave, give yourself a pat on the back"
8,CS125,Awesome,One word: awesome.
9,CS125,Awesome,"You can really tell he is passionate about CS and teaching his students. Not only that, but he is also extremely intelligent and funny. He is everything you could ever want in a Professor."
10,CS125,Awesome,"My first time programming, Angrave made it a breeze! this class is one of the best classes ever!"
11,CS125,Awesome,best class I have ever take in my freshman year in UofI
12,CS125,Awesome,"Overall excellent professor! It's a CS course, so don't expect it to be easy, but he is so enthusiastic that it makes going to lecture fun--and extremely useful!"
13,CS125,Awesome,He is great and funny. Love his British accent. I can't be more thankful that taking this course with him inspired me to transfer to computer science major.
14,CS125,Awesome,This guy is incredible.
15,CS125,Awesome,Lawrence Angrave: the most entertaining CS professor you will ever have.
16,CS125,Awesome,Excellent teacher. Not only is he extremely funny but makes sure that the class gets a firm grip on the concepts.
17,CS125,Awesome,"Seldom am I inspired to do anything non-mandatory, but this teacher is so inspiring, teaches so incredibly well, and gives the students every possible tool they could use to pass this class that I felt the need to tell everyone here. If possibly, take this class."
18,CS125,Awesome,What an unbelievable guy. I had him my freshman year at UIUC and he truly inspired me to go into computer science while providing me with a solid foundation to stem from. I'm a software Engineer at Google now and couldnt be more thankful to Angrave for starting it all off.
19,CS125,Awesome,"He's charismatic and helpful. He might make you want to switch to CS at the end of it all. As far as the class goes, it might be difficult for the non-technically minded, but all the resources are there to help (lectures, readings, section, office hours, debug your brain, piazza for constant web support), and grading is almost too forgiving. If you don't manage at least a B in this class with some fair effort CS might not be for you."
20,CS125,Awesome,He is awesome!!!!
21,CS125,Awesome,"Hilarious professor and made lectures interesting. Lectures aren't mandatory but they're helpful and interesting. The MPs can be tough but he regrades them for full credit the following week. Overall, interesting class but without prior Java experience it won't be easy."
22,CS125,Awesome,Angrave made my love computer science! I really suggest taking his class even if you don't think you're interested in CS! He is a fantastic teacher.
23,CS125,Awesome,Best professor I will ever have in my Career as a Student. Shows us funny videos before every class and just keeps joking around to make sure that we do indeed focus in class. He knows how to make fun and work Mix..he has a childlike enthusiasm. Do your Readings and MP's in advance and you will experience the best class in the history of UIUC.
24,CS125,Awesome,Makes CS fun and can answer any question.
25,CS125,Awesome,He's a complete baller. This class was really fun to go to every day. He is loud exciting and funny and truly makes an effort to make the class fun. He also has a british accent.
